session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6201c05e89ff9498366a49c0,61074b165713a32de9306468,APPROVED,2022-02-08 00:59:13.302000,2022-02-08 01:10:33.772000,680.47,30,448,6,99,2022-02-08 17:15:22.627000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201c071784f8bf95727efae,61005d9fcedd6ea3ca4d232d,APPROVED,2022-02-08 00:59:31.586000,2022-02-08 01:04:41.964000,310.378,23,183,1,100,2022-02-08 17:15:22.759000,1AE5690E,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201c07f86e228400d40f2eb,6151c6e6fe892583908fc36f,APPROVED,2022-02-08 00:59:46.273000,2022-02-08 01:07:12.281000,446.008,46,508,0,100,2022-02-08 17:15:22.891000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201c0b66220d143ed70faa4,5fec06ae197628d566cdc782,APPROVED,2022-02-08 01:00:58.782000,2022-02-08 01:07:58.461000,419.679,52,631,1,100,2022-02-08 17:15:23.054000,1AE5690E,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
6201c108f6b35042d1a7afec,5cd9dd09c8e37500018ab627,APPROVED,2022-02-08 01:02:07.403000,2022-02-08 01:12:44.113000,636.71,31,639,10,98,2022-02-08 17:15:23.177000,1AE5690E,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,No
6201c109ed8d129b8bb24194,6101c2aaf8555a745cfb472b,APPROVED,2022-02-08 01:02:05.764000,2022-02-08 01:08:36.208000,390.444,50,527,6,98,2022-02-08 17:15:23.322000,1AE5690E,United States,United States,Other,English,United States,Female,No
6201c116d949a4d7fa64acbf,61086f7fa61a5cf15d5079e6,APPROVED,2022-02-08 01:02:16.063000,2022-02-08 01:07:53.265000,337.202,39,483,1,100,2022-02-08 17:15:23.455000,1AE5690E,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201c11994a80380761e9cc9,60fe1a43857cc5f00d4a78ec,APPROVED,2022-02-08 01:02:21.450000,2022-02-08 22:16:07.186000,76425.736,40,294,1,100,2022-02-08 22:16:07.880000,Manual Completion,United States,United States,Full-Time,English,United States,Female,No
6201c14a8fbf48c16479acd9,617646d656a0115ca27ec794,APPROVED,2022-02-08 01:03:08.915000,2022-02-08 01:09:48.162000,399.247,23,448,6,98,2022-02-08 17:15:23.578000,1AE5690E,United States,United States,Other,English,United States,Male,No
6201c14be6d2fd62ca79dc5e,5f65597823696e0e9bd8f63a,APPROVED,2022-02-08 01:03:10.581000,2022-02-08 01:08:02.810000,292.229,43,1184,1,100,2022-02-08 17:15:23.685000,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201c1569b6209c5ebb0adaf,6134d8a566bc3dffe880e879,APPROVED,2022-02-08 01:03:21.557000,2022-02-08 01:14:52.279000,690.722,41,652,5,98,2022-02-08 17:15:23.813000,NOCODE,United States,United States,Full-Time,English,United States,Female,No
6201c1696ddd43d31a3362e7,60fcb7afde5ab78707e377d6,APPROVED,2022-02-08 01:03:41.756000,2022-02-08 01:11:48.926000,487.17,23,405,1,100,2022-02-08 17:15:23.940000,1AE5690E,United States,United States,Part-Time,English,United States,Female,No
6201c17ccfea32e54a2309e9,6168e3efc08671bd92f7fd37,APPROVED,2022-02-08 01:03:59.893000,2022-02-08 01:10:15.880000,375.987,34,441,1,100,2022-02-08 17:15:24.077000,1AE5690E,United States,United States,Part-Time,English,United States,Female,No
6201c18e5840bc3aadab8a40,5f0fab5abdec9a1aff2b2744,APPROVED,2022-02-08 01:04:19.019000,2022-02-08 22:16:05.362000,76306.343,31,1247,5,100,2022-02-08 22:16:05.893000,Manual Completion,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201c1947dbb36c059e3407d,612fd3208d3decaf3ec80bcc,APPROVED,2022-02-08 01:04:25.182000,2022-02-08 01:13:51.772000,566.59,46,521,4,99,2022-02-08 17:15:24.205000,1AE5690E,United States,United States,Unemployed (and job seeking),English,United States,Female,No
6201c19683486858151cb4c8,60fd795a96e15917bb9966c9,APPROVED,2022-02-08 01:06:01.412000,2022-02-08 22:16:02.886000,76201.474,18,370,5,99,2022-02-08 22:16:03.624000,Manual Completion,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201c1975d5c63b7dfcebd2e,5bbc18010cb04c00015025ce,APPROVED,2022-02-08 01:04:26.237000,2022-02-08 01:11:07.497000,401.26,33,1357,4,100,2022-02-08 17:15:24.327000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201c1a8c74644fecff012e9,5d60b5beea1c1c0001c98bf6,APPROVED,2022-02-08 01:05:25.931000,2022-02-08 01:14:14.091000,528.16,64,1609,0,100,2022-02-08 17:15:24.438000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201c1aa04dcbc87576f5b83,6101a1b6117210cbfabf75f5,APPROVED,2022-02-08 01:04:44.102000,2022-02-08 01:12:27.059000,462.957,25,157,0,100,2022-02-08 17:15:24.563000,1AE5690E,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6201c1acf65ec91f4780c4bb,5b0d0beed282ff00015b9972,APPROVED,2022-02-08 01:04:44.155000,2022-02-08 01:11:40.574000,416.419,39,289,0,100,2022-02-08 17:15:24.694000,1AE5690E,DATA EXPIRED,Canada,DATA EXPIRED,English,Canada,Male,DATA EXPIRED
6201c1bc0ab51273d26bb847,608981c1be83df6a5452398e,APPROVED,2022-02-08 01:05:00.215000,2022-02-08 01:11:02.564000,362.349,,571,3,100,2022-02-08 17:15:24.805000,1AE5690E,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201c1caa1b6509f5dc15398,56d1af6521cd29000b973ff2,APPROVED,2022-02-08 01:05:20.943000,2022-02-08 22:16:04.424000,76243.481,65,2723,4,100,2022-02-08 22:16:04.849000,Manual Completion,United States,United States,Full-Time,English,United States,Female,No
6201c1d1efaab7ab7e445e43,5bc79ce8f653a50001ce430e,APPROVED,2022-02-08 01:16:00.014000,2022-02-08 22:15:56.647000,75596.633,33,1364,4,100,2022-02-08 22:15:57.012000,Manual Completion,United States,United States,Part-Time,English,United States,Female,Yes
6201c1e5f7eee6c19adcbd10,5ba8337446de410001ecf212,APPROVED,2022-02-08 01:05:44.250000,2022-02-08 01:13:17.147000,452.897,41,890,1,100,2022-02-08 17:15:24.924000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201c1ed4c3fc1eb83fdd264,614efa2878aa3275b54d0bdf,APPROVED,2022-02-08 01:05:52.994000,2022-02-08 22:16:03.563000,76210.569,64,496,4,99,2022-02-08 22:16:04.138000,Manual Completion,United States,United States,Full-Time,English,United States,Male,No
6201c2058a9a0d5c52e7e789,6158d01f302cf46b673dd597,APPROVED,2022-02-08 01:07:40.299000,2022-02-08 01:13:03.393000,323.094,37,623,0,100,2022-02-08 17:15:25.068000,1AE5690E,United States,United States,Full-Time,English,United States,Male,Yes
